element,web_name,team,position,gw_from_fixture,total_points_4gw,minutes_4gw,personas,status,flags,persona_count,starts_last4
121,Damsgaard,BRE,MID,38,18.0,255.0,"Playmaker, Boom or Bust",Under-owned,,2,3
122,Milambo,BRE,MID,38,0.0,0.0,None,,Minutes risk,0,0
123,Carvalho,BRE,MID,38,0.0,0.0,None,,Minutes risk,0,0
124,Henderson,BRE,MID,38,1.0,97.0,None,,Minutes risk,0,1
125,Janelt,BRE,MID,38,4.0,181.0,None,,Minutes risk,0,2
126,Jensen,BRE,MID,38,11.0,324.0,"Playmaker, Metronome, Set Piece Specialist",Under-owned,,3,4
127,Nunes,BRE,MID,38,0.0,0.0,None,,Minutes risk,0,0
128,Onyeka,BRE,MID,38,0.0,0.0,None,,Minutes risk,0,0
129,Yarmoliuk,BRE,MID,38,13.0,256.0,None,Under-owned,,0,3
130,Donovan,BRE,MID,38,0.0,0.0,None,,Minutes risk,0,0
131,Konak,BRE,MID,38,0.0,0.0,None,,Minutes risk,0,0
132,Maghoma,BRE,MID,38,0.0,0.0,None,,Minutes risk,0,0
133,Peart-Harris,BRE,MID,38,0.0,0.0,None,,Minutes risk,0,0
134,Trevitt,BRE,MID,38,0.0,0.0,None,,Minutes risk,0,0
135,Wissa,NEW,FWD,38,5.0,70.0,None,,Minutes risk,0,0
136,Thiago,BRE,FWD,38,12.0,360.0,"Goal Machine, Metronome",Returns overdue,Ever-present,2,4
137,Morgan,BRE,FWD,38,0.0,0.0,None,,Minutes risk,0,0
138,Steele,BHA,GKP,38,0.0,0.0,None,,Minutes risk,0,0
139,Verbruggen,BHA,GKP,38,12.0,360.0,None,Conceding above xGC,Ever-present,0,4
140,McGill,BHA,GKP,38,0.0,0.0,None,,Minutes risk,0,0
141,Rushworth,BHA,GKP,38,0.0,0.0,None,,Minutes risk,0,0
142,Scherpen,BHA,GKP,38,0.0,0.0,None,,Minutes risk,0,0
143,Boscagli,BHA,DEF,38,1.0,90.0,None,,Minutes risk,0,1
144,Coppola,BHA,DEF,38,0.0,0.0,None,,Minutes risk,0,0
145,De Cuyper,BHA,DEF,38,18.0,231.0,"The Supply Line, Set Piece Specialist",,,2,3
146,Dunk,BHA,DEF,38,18.0,272.0,"The Raider, Aerial Threat",,,2,3
147,Estupiñan,BHA,DEF,38,0.0,0.0,None,,Minutes risk,0,0
148,F.Kadıoğlu,BHA,DEF,38,10.0,360.0,The Supply Line,,Ever-present,1,4
149,Igor,BHA,DEF,38,0.0,0.0,None,,Minutes risk,0,0
150,Lamptey,BHA,DEF,38,0.0,0.0,None,,Minutes risk,0,0
151,Van Hecke,BHA,DEF,38,11.0,360.0,The Raider,,Ever-present,1,4
152,Veltman,BHA,DEF,38,8.0,158.0,None,,Minutes risk,0,1
153,Webster,BHA,DEF,38,0.0,0.0,None,,Minutes risk,0,0
154,Cashin,BHA,DEF,38,0.0,0.0,None,,Minutes risk,0,0
155,Slater,BHA,DEF,38,0.0,0.0,None,,Minutes risk,0,0
156,Tasker,BHA,DEF,38,0.0,0.0,None,,Minutes risk,0,0
157,Mitoma,BHA,MID,38,1.0,147.0,None,,Minutes risk,0,2
158,Georginio,BHA,MID,38,4.0,65.0,None,,Minutes risk,0,0
159,March,BHA,MID,38,3.0,34.0,None,,Minutes risk,0,0
160,Minteh,BHA,MID,38,15.0,315.0,Playmaker,,,1,3
161,Enciso,BHA,MID,38,0.0,0.0,None,,Minutes risk,0,0
162,Gruda,BHA,MID,38,0.0,0.0,None,,Minutes risk,0,0
163,Hinshelwood,BHA,MID,38,20.0,328.0,"Goal Machine, Aerial Threat",,,2,4
164,O'Riley,BHA,MID,38,0.0,0.0,None,,Minutes risk,0,0
165,Sima,BHA,MID,38,0.0,0.0,None,,Minutes risk,0,0
166,Ayari,BHA,MID,38,2.0,22.0,None,,Minutes risk,0,0
167,Baleba,BHA,MID,38,11.0,266.0,Metronome,,,1,3
168,Buonanotte,LEE,MID,38,1.0,12.0,None,,Minutes risk,0,0
169,Gomez,BHA,MID,38,2.0,83.0,None,,Minutes risk,0,1
170,Milner,BHA,MID,38,1.0,58.0,None,,Minutes risk,0,1
171,Sarmiento,BHA,MID,38,0.0,0.0,None,,Minutes risk,0,0
172,Watson,BHA,MID,38,0.0,0.0,None,,Minutes risk,0,0
173,Wieffer,BHA,MID,38,3.0,107.0,None,,Minutes risk,0,2
174,Yalcouye,BHA,MID,38,0.0,0.0,None,,Minutes risk,0,0
175,Knight,BHA,MID,38,0.0,0.0,None,,Minutes risk,0,0
176,Mazilu,BHA,MID,38,0.0,0.0,None,,Minutes risk,0,0
177,Moran,BHA,MID,38,0.0,0.0,None,,Minutes risk,0,0
178,Welbeck,BHA,FWD,38,10.0,277.0,"Metronome, Aerial Threat",,,2,4
179,Ferguson,BHA,FWD,38,0.0,0.0,None,,Minutes risk,0,0
180,Tzimas,BHA,FWD,38,0.0,0.0,None,,Minutes risk,0,0
181,Kostoulas,BHA,FWD,38,4.0,51.0,None,,Minutes risk,0,0
182,Trafford,MCI,GKP,38,2.0,90.0,None,,Minutes risk,0,1
183,Weiss,BUR,GKP,38,7.0,270.0,None,,,0,3
184,Green,BUR,GKP,38,0.0,0.0,None,,Minutes risk,0,0
185,Hladký,BUR,GKP,38,0.0,0.0,None,,Minutes risk,0,0
186,Roberts,BUR,DEF,38,0.0,0.0,None,,Minutes risk,0,0
187,Walker,BUR,DEF,38,6.0,360.0,None,One action short,Ever-present,0,4
188,Delcroix,BUR,DEF,38,0.0,0.0,None,,Minutes risk,0,0
189,Dodgson,BUR,DEF,38,0.0,0.0,None,,Minutes risk,0,0
190,Ekdal,BUR,DEF,38,3.0,90.0,None,,Minutes risk,0,1
191,Estève,BUR,DEF,38,8.0,261.0,The Enforcer,,,1,3
192,Hartman,BUR,DEF,38,1.0,64.0,None,,Minutes risk,0,1
193,Humphreys,BUR,DEF,38,3.0,173.0,None,,Minutes risk,0,2
194,Jordan,BUR,DEF,38,0.0,0.0,None,,Minutes risk,0,0
195,Lucas Pires,BUR,DEF,38,5.0,295.0,Set Piece Specialist,,,1,3
196,Sambo,BUR,DEF,38,0.0,0.0,None,,Minutes risk,0,0
197,Sonne,BUR,DEF,38,0.0,0.0,None,,Minutes risk,0,0
198,Tuanzebe,BUR,DEF,38,7.0,270.0,None,,,0,3
199,Worrall,BUR,DEF,38,0.0,0.0,None,,Minutes risk,0,0
200,Anthony,BUR,MID,38,16.0,351.0,"Metronome, Set Piece Specialist",,Ever-present,2,4
201,Benson,BUR,MID,38,0.0,0.0,None,,Minutes risk,0,0
202,Bruun Larsen,BUR,MID,38,3.0,16.0,None,,Minutes risk,0,0
203,Boateng,BUR,MID,38,0.0,0.0,None,,Minutes risk,0,0
204,Churlinov,BUR,MID,38,0.0,0.0,None,,Minutes risk,0,0
205,Cullen,BUR,MID,38,0.0,0.0,None,,Minutes risk,0,0
206,Edwards,BUR,MID,38,1.0,15.0,None,,Minutes risk,0,0
207,Hannibal,BUR,MID,38,7.0,238.0,None,,,0,3
208,Koleosho,BUR,MID,38,0.0,0.0,None,,Minutes risk,0,0
209,Laurent,BUR,MID,38,3.0,83.0,None,,Minutes risk,0,1
210,Tchaouna,BUR,MID,38,17.0,335.0,Metronome,Under-owned,,1,4
211,A.Ramsey,BUR,MID,38,0.0,0.0,None,,Minutes risk,0,0
212,Adewumi,BUR,MID,38,0.0,0.0,None,,Minutes risk,0,0
213,Banel,BUR,MID,38,0.0,0.0,None,,Minutes risk,0,0
214,Trésor,BUR,MID,38,0.0,0.0,None,,Minutes risk,0,0
215,Flemming,BUR,FWD,38,17.0,328.0,Goal Machine,Under-owned,,1,4
216,Amdouni,BUR,FWD,38,4.0,69.0,None,,Minutes risk,0,0
217,Foster,BUR,FWD,38,1.0,21.0,None,,Minutes risk,0,0
218,Barnes,BUR,FWD,38,0.0,5.0,None,,Minutes risk,0,0
219,Obafemi,BUR,FWD,38,0.0,0.0,None,,Minutes risk,0,0
220,Sánchez,CHE,GKP,38,5.0,246.0,None,,,0,3
221,Jörgensen,CHE,GKP,38,3.0,114.0,None,,Minutes risk,0,1
222,Penders,CHE,GKP,38,0.0,0.0,None,,Minutes risk,0,0
223,Slonina,CHE,GKP,38,0.0,0.0,None,,Minutes risk,0,0
224,Cucurella,CHE,DEF,38,7.0,360.0,None,,Ever-present,0,4
225,James,CHE,DEF,38,2.0,65.0,None,,Minutes risk,0,0
226,Chalobah,CHE,DEF,38,3.0,131.0,None,,Minutes risk,0,1
227,Colwill,CHE,DEF,38,8.0,225.0,None,,Minutes risk,0,2
228,Gusto,CHE,DEF,38,1.0,264.0,The Supply Line,,,1,3
229,B.Badiashile,CHE,DEF,38,0.0,0.0,None,,Minutes risk,0,0
230,Fofana,CHE,DEF,38,5.0,231.0,None,One action short,,0,3
231,M.Sarr,CHE,DEF,38,1.0,9.0,None,,Minutes risk,0,0
232,Tosin,CHE,DEF,38,0.0,45.0,None,,Minutes risk,0,1
233,Acheampong,CHE,DEF,38,3.0,78.0,None,,Minutes risk,0,1
234,Anselmino,CHE,DEF,38,0.0,0.0,None,,Minutes risk,0,0
235,Palmer,CHE,MID,38,12.0,358.0,Goal Machine,Returns overdue,Ever-present,1,4
236,Neto,CHE,MID,38,11.0,152.0,None,,Minutes risk,0,2
237,Enzo,CHE,MID,38,24.0,360.0,"Playmaker, Boom or Bust, Set Piece Specialist",Beating his xG,Ever-present,3,4
238,Estêvão,CHE,MID,38,0.0,0.0,None,,Minutes risk,0,0
239,Gittens,CHE,MID,38,0.0,0.0,None,,Minutes risk,0,0
240,Nkunku,CHE,MID,38,0.0,0.0,None,,Minutes risk,0,0
241,Caicedo,CHE,MID,38,8.0,354.0,None,,Ever-present,0,4
242,Dewsbury-Hall,EVE,MID,38,11.0,353.0,Metronome,One action short,Ever-present,1,4
243,George,EVE,MID,38,3.0,55.0,None,,Minutes risk,0,0
244,Lavia,CHE,MID,38,1.0,57.0,None,,Minutes risk,0,1
245,Mudryk,CHE,MID,38,0.0,0.0,None,,Minutes risk,0,0
246,Andrey Santos,CHE,MID,38,13.0,184.0,None,,Minutes risk,0,2
247,D.Essugo,CHE,MID,38,0.0,1.0,None,,Minutes risk,0,0
248,Paez,CHE,MID,38,0.0,0.0,None,,Minutes risk,0,0
249,João Pedro,CHE,FWD,38,11.0,270.0,"Goal Machine, Poacher, Aerial Threat",,,3,3
250,Delap,CHE,FWD,38,2.0,138.0,None,,Minutes risk,0,1
251,N.Jackson,CHE,FWD,38,0.0,0.0,None,,Minutes risk,0,0
252,Marc Guiu,CHE,FWD,38,0.0,0.0,None,,Minutes risk,0,0
253,Henderson,CRY,GKP,38,5.0,360.0,The Last Line,Conceding above xGC,Ever-present,1,4
254,Benitez,CRY,GKP,38,0.0,0.0,None,,Minutes risk,0,0
255,Matthews,CRY,GKP,38,0.0,0.0,None,,Minutes risk,0,0
256,Muñoz,CRY,DEF,38,10.0,306.0,The Supply Line,,,1,4
257,Lacroix,CRY,DEF,38,6.0,240.0,None,,,0,3
258,Mitchell,CRY,DEF,38,8.0,315.0,The Raider,,,1,3
259,Sosa,CRY,DEF,38,0.0,0.0,None,,Minutes risk,0,0
260,Guéhi,MCI,DEF,38,17.0,270.0,Set Piece Specialist,Clean sheets earned,,1,3
261,Richards,CRY,DEF,38,4.0,209.0,None,,Minutes risk,0,2
262,Chadi Riad,CRY,DEF,38,5.0,163.0,None,,Minutes risk,0,2
263,Clyne,CRY,DEF,38,2.0,98.0,None,,Minutes risk,0,1
264,Holding,CRY,DEF,38,0.0,0.0,None,,Minutes risk,0,0
265,Kporha,CRY,DEF,38,0.0,0.0,None,,Minutes risk,0,0
266,Eze,ARS,MID,38,10.0,230.0,"Goal Machine, Metronome",Due a goal,,2,3
267,Sarr,CRY,MID,38,16.0,255.0,Goal Machine,,,1,3
268,Doucouré,CRY,MID,38,0.0,0.0,None,,Minutes risk,0,0
269,Esse,CRY,MID,38,0.0,0.0,None,,Minutes risk,0,0
270,Hughes,CRY,MID,38,3.0,149.0,None,,Minutes risk,0,2
271,Kamada,CRY,MID,38,7.0,240.0,"Playmaker, Deep Lying Playmaker",,,2,3
272,Lerma,CRY,MID,38,7.0,206.0,None,,Minutes risk,0,2
273,Wharton,CRY,MID,38,17.0,226.0,None,,Minutes risk,0,2
274,Agbinone,CRY,MID,38,0.0,0.0,None,,Minutes risk,0,0
275,Ahamada,CRY,MID,38,0.0,0.0,None,,Minutes risk,0,0
276,Devenny,CRY,MID,38,2.0,90.0,None,,Minutes risk,0,1
277,Ebiowei,CRY,MID,38,0.0,0.0,None,,Minutes risk,0,0
278,J.Rak-Sakyi,CRY,MID,38,0.0,0.0,None,,Minutes risk,0,0
279,M.França,CRY,MID,38,0.0,0.0,None,,Minutes risk,0,0
280,Ozoh,CRY,MID,38,0.0,0.0,None,,Minutes risk,0,0
281,Rodney,CRY,MID,38,0.0,0.0,None,,Minutes risk,0,0
282,Umeh,CRY,MID,38,0.0,0.0,None,,Minutes risk,0,0
283,Mateta,CRY,FWD,38,13.0,126.0,None,,Minutes risk,0,1
284,Nketiah,CRY,FWD,38,0.0,0.0,None,,Minutes risk,0,0
285,Édouard,CRY,FWD,38,0.0,0.0,None,,Minutes risk,0,0
286,Marsh,CRY,FWD,38,0.0,0.0,None,,Minutes risk,0,0
287,Pickford,EVE,GKP,38,7.0,360.0,None,Conceding above xGC,Ever-present,0,4
288,Travers,EVE,GKP,38,0.0,0.0,None,,Minutes risk,0,0
289,Tyrer,EVE,GKP,38,0.0,0.0,None,,Minutes risk,0,0
290,Branthwaite,EVE,DEF,38,0.0,0.0,None,,Minutes risk,0,0
291,Tarkowski,EVE,DEF,38,21.0,360.0,"The Supply Line, The Enforcer, Aerial Threat",,Ever-present,3,4
292,Mykolenko,EVE,DEF,38,4.0,360.0,None,,Ever-present,0,4
293,O'Brien,EVE,DEF,38,8.0,328.0,"The Raider, Aerial Threat",,,2,4
294,Coleman,EVE,DEF,38,2.0,8.0,None,,Minutes risk,0,0
295,Keane,EVE,DEF,38,11.0,360.0,"The Enforcer, Aerial Threat",,Ever-present,2,4
296,Patterson,EVE,DEF,38,1.0,1.0,None,,Minutes risk,0,0
297,Dixon,EVE,DEF,38,0.0,0.0,None,,Minutes risk,0,0
298,Welch,EVE,DEF,38,0.0,0.0,None,,Minutes risk,0,0
299,Ndiaye,EVE,MID,38,8.0,360.0,Goal Machine,Due a goal,Ever-present,1,4
300,McNeil,EVE,MID,38,1.0,2.0,None,,Minutes risk,0,0
301,Alcaraz,EVE,MID,38,3.0,8.0,None,,Minutes risk,0,0
302,Gana,EVE,MID,38,0.0,0.0,None,,Minutes risk,0,0
303,Garner,EVE,MID,38,11.0,360.0,"Playmaker, Metronome, Set Piece Specialist",,Ever-present,3,4
304,Iroegbunam,EVE,MID,38,9.0,335.0,Metronome,Under-owned,,1,4
305,Armstrong,EVE,MID,38,2.0,29.0,None,,Minutes risk,0,0
306,Bates,EVE,MID,38,0.0,0.0,None,,Minutes risk,0,0
307,Ebere,EVE,MID,38,0.0,0.0,None,,Minutes risk,0,0
308,Heath,EVE,MID,38,0.0,0.0,None,,Minutes risk,0,0
309,Metcalfe,EVE,MID,38,0.0,0.0,None,,Minutes risk,0,0
310,Barry,EVE,FWD,38,15.0,146.0,None,,Minutes risk,0,1
311,Beto,EVE,FWD,38,12.0,210.0,"Goal Machine, Poacher, Aerial Threat",,,3,3
312,Y.Chermiti,EVE,FWD,38,0.0,0.0,None,,Minutes risk,0,0
313,Sherif,EVE,FWD,38,0.0,0.0,None,,Minutes risk,0,0
314,Leno,FUL,GKP,38,14.0,360.0,The Last Line,,Ever-present,1,4
315,Benda,FUL,GKP,38,0.0,0.0,None,,Minutes risk,0,0
316,Robinson,FUL,DEF,38,20.0,360.0,The Raider,,Ever-present,1,4
317,Andersen,FUL,DEF,38,1.0,141.0,None,,Minutes risk,0,2
318,Bassey,FUL,DEF,38,11.0,360.0,None,One action short,Ever-present,0,4
319,Castagne,FUL,DEF,38,16.0,352.0,The Supply Line,,Ever-present,1,4
320,Diop,FUL,DEF,38,18.0,220.0,None,,Minutes risk,0,2
321,J.Cuenca,FUL,DEF,38,0.0,4.0,None,,Minutes risk,0,0
322,Tete,FUL,DEF,38,0.0,0.0,None,,Minutes risk,0,0
323,Amissah,FUL,DEF,38,0.0,0.0,None,,Minutes risk,0,0
324,Iwobi,FUL,MID,38,5.0,156.0,None,,Minutes risk,0,2
325,Smith Rowe,FUL,MID,38,8.0,271.0,None,,,0,4
326,Adama,WHU,MID,38,1.0,16.0,None,,Minutes risk,0,0
327,Andreas,FUL,MID,38,0.0,0.0,None,,Minutes risk,0,0
328,Sessegnon,FUL,MID,38,0.0,0.0,None,,Minutes risk,0,0
329,Wilson,FUL,MID,38,9.0,153.0,None,,Minutes risk,0,2
330,Berge,FUL,MID,38,4.0,135.0,None,,Minutes risk,0,2
331,Cairney,FUL,MID,38,9.0,131.0,None,,Minutes risk,0,1
332,Lukić,FUL,MID,38,7.0,270.0,Set Piece Specialist,,,1,3
333,Godo,FUL,MID,38,0.0,0.0,None,,Minutes risk,0,0
334,Harris,FUL,MID,38,0.0,0.0,None,,Minutes risk,0,0
335,King,FUL,MID,38,3.0,81.0,None,,Minutes risk,0,0
336,Reed,FUL,MID,38,2.0,63.0,None,,Minutes risk,0,1
337,Raúl,FUL,FWD,38,4.0,113.0,None,,Minutes risk,0,1
338,Muniz,FUL,FWD,38,6.0,244.0,"Goal Machine, Aerial Threat",Due a goal,,2,3
339,Meslier,LEE,GKP,38,0.0,0.0,None,,Minutes risk,0,0
340,Cairns,LEE,GKP,38,0.0,0.0,None,,Minutes risk,0,0
